"","Site","Plot","Year","EAF","EAG","EPF","NAF","EPG","NPF","NS","PG","EBF"
"1",1,1,2021,0.215189873417722,0.506329113924051,0.240506329113924,0.0379746835443038,0,0,0,0,0
"2",1,1,2022,0.166666666666667,0.340579710144927,0.239130434782609,0.13768115942029,0.0797101449275362,0.0289855072463768,0.0072463768115942,0,0
"3",1,1,2023,0.0230769230769231,0.353846153846154,0.269230769230769,0.238461538461538,0.0692307692307692,0.00769230769230769,0.0153846153846154,0.0230769230769231,0
"4",1,1,2024,0.036697247706422,0.458715596330275,0.119266055045872,0.174311926605505,0.100917431192661,0.0642201834862385,0.018348623853211,0.0275229357798165,0
"5",1,2,2021,0.0434782608695652,0.36231884057971,0.217391304347826,0.376811594202899,0,0,0,0,0
"6",1,2,2022,0,0.2,0,0,0,0,0.4,0.4,0
"7",1,2,2023,0,0.0545454545454545,0.563636363636364,0.0363636363636364,0.0727272727272727,0,0.2,0.0727272727272727,0
"8",1,2,2024,0,0.27906976744186,0.302325581395349,0,0.0465116279069767,0,0.325581395348837,0.0465116279069767,0
"9",1,3,2021,0.0123456790123457,0.580246913580247,0.308641975308642,0.037037037037037,0.0123456790123457,0,0,0.0493827160493827,0
"10",1,3,2022,0.147826086956522,0.356521739130435,0.182608695652174,0.0869565217391304,0.104347826086957,0.0260869565217391,0,0.0782608695652174,0.0173913043478261
"11",1,3,2023,0.0514705882352941,0.272058823529412,0.242647058823529,0.147058823529412,0.169117647058824,0.00735294117647059,0.00735294117647059,0.102941176470588,0
"12",1,3,2024,0.0657894736842105,0.5,0.171052631578947,0.0131578947368421,0.0921052631578947,0.0131578947368421,0.0263157894736842,0.0921052631578947,0.0263157894736842
"13",1,4,2021,0.0307692307692308,0.6,0.0615384615384615,0.0769230769230769,0.0153846153846154,0.0461538461538462,0,0.169230769230769,0
"14",1,4,2022,0.0140845070422535,0.267605633802817,0,0,0.112676056338028,0.0563380281690141,0.0422535211267606,0.507042253521127,0
"15",1,4,2023,0.10126582278481,0.164556962025316,0.139240506329114,0.0126582278481013,0.113924050632911,0.0126582278481013,0.0506329113924051,0.40506329113924,0
"16",1,4,2024,0.135802469135802,0.111111111111111,0.0617283950617284,0.0987654320987654,0.0617283950617284,0.037037037037037,0.0617283950617284,0.432098765432099,0
"17",1,5,2021,0.280701754385965,0.456140350877193,0.140350877192982,0.0175438596491228,0.0175438596491228,0.0175438596491228,0,0.0701754385964912,0
"18",1,5,2022,0,0.171428571428571,0,0,0.0571428571428571,0.2,0,0.571428571428571,0
"19",1,5,2023,0.0681818181818182,0.0454545454545454,0.409090909090909,0,0.113636363636364,0.0454545454545454,0.0909090909090909,0.227272727272727,0
"20",1,5,2024,0.0967741935483871,0,0.225806451612903,0,0,0.193548387096774,0.0645161290322581,0.419354838709677,0
"21",1,6,2021,0,0.725806451612903,0.032258064516129,0.0161290322580645,0,0.17741935483871,0,0.0483870967741936,0
"22",1,6,2022,0,0.0645161290322581,0,0,0.0645161290322581,0.419354838709677,0,0.451612903225806,0
"23",1,6,2023,0,0,0,0,0.230769230769231,0.435897435897436,0.102564102564103,0.230769230769231,0
"24",1,6,2024,0,0.0851063829787234,0.0212765957446809,0.0212765957446809,0.0638297872340425,0.297872340425532,0.0638297872340425,0.446808510638298,0
"25",1,7,2021,0.118421052631579,0.355263157894737,0.157894736842105,0.0921052631578947,0.0131578947368421,0.157894736842105,0,0.105263157894737,0
"26",1,7,2022,0,0.176470588235294,0,0,0.117647058823529,0.352941176470588,0,0.352941176470588,0
"27",1,7,2023,0.02,0.04,0.34,0,0.1,0.1,0.1,0.3,0
"28",1,7,2024,0.25,0.0892857142857143,0.160714285714286,0,0.0178571428571429,0.0892857142857143,0.0892857142857143,0.285714285714286,0.0178571428571429
"29",1,8,2021,0,0.430232558139535,0.209302325581395,0.127906976744186,0.0232558139534884,0.0697674418604651,0,0.13953488372093,0
"30",1,8,2022,0,0.18,0,0,0.02,0.1,0,0.7,0
"31",1,8,2023,0.0793650793650794,0.0793650793650794,0.634920634920635,0,0.0158730158730159,0.0793650793650794,0.0158730158730159,0.0952380952380952,0
"32",1,8,2024,0.191176470588235,0.323529411764706,0.279411764705882,0.0147058823529412,0.0147058823529412,0.0294117647058824,0.0441176470588235,0.102941176470588,0
"33",1,9,2021,0.1,0.34,0.18,0.18,0.06,0.08,0,0.06,0
"34",1,9,2022,0,0.157894736842105,0,0,0.210526315789474,0.210526315789474,0.105263157894737,0.315789473684211,0
"35",1,9,2023,0.075,0.025,0.45,0,0,0.15,0.025,0.275,0
"36",1,9,2024,0.0909090909090909,0.0303030303030303,0.212121212121212,0,0.0606060606060606,0.151515151515151,0.121212121212121,0.333333333333333,0
"37",1,10,2021,0,0.0888888888888889,0.0444444444444444,0.0666666666666667,0.0666666666666667,0.155555555555556,0,0.577777777777778,0
"38",1,10,2022,0,0,0,0,0.111111111111111,0.133333333333333,0,0.755555555555556,0
"39",1,10,2023,0.0384615384615385,0,0,0.115384615384615,0.307692307692308,0.192307692307692,0,0.346153846153846,0
"40",1,10,2024,0,0.131578947368421,0,0,0,0.184210526315789,0,0.684210526315789,0
"41",1,11,2021,0,0,0,0,0,0,0,1,0
"42",1,11,2022,0,0.0465116279069767,0,0,0.0232558139534884,0.0232558139534884,0.0232558139534884,0.883720930232558,0
"43",1,11,2023,0,0.0227272727272727,0,0.0227272727272727,0.113636363636364,0.0454545454545455,0.0227272727272727,0.772727272727273,0
"44",1,11,2024,0,0,0,0,0.0975609756097561,0.024390243902439,0,0.878048780487805,0
"45",1,12,2021,0,0,0,0.307692307692308,0.0256410256410256,0,0,0.666666666666667,0
"46",1,12,2022,0,0,0,0,0.105263157894737,0,0,0.894736842105263,0
"47",1,12,2023,0,0,0.0256410256410256,0.0512820512820513,0.358974358974359,0,0,0.564102564102564,0
"48",1,12,2024,0,0,0.0217391304347826,0.0434782608695652,0.173913043478261,0,0,0.760869565217391,0
"49",1,13,2021,0,0,0,0,0,0.0689655172413793,0,0.931034482758621,0
"50",1,13,2022,0.0754716981132075,0.0471698113207547,0,0.141509433962264,0.311320754716981,0.0283018867924528,0,0.39622641509434,0
"51",1,13,2023,0.0289855072463768,0.130434782608696,0,0.391304347826087,0.188405797101449,0.0144927536231884,0,0.246376811594203,0
"52",1,13,2024,0.0470588235294118,0.247058823529412,0,0.0470588235294118,0.164705882352941,0.0352941176470588,0,0.458823529411765,0
"53",2,1,2021,0.0769230769230769,0.384615384615385,0.492307692307692,0,0.0461538461538462,0,0,0,0
"54",2,1,2022,0,0.377777777777778,0.511111111111111,0,0.0222222222222222,0,0.0444444444444444,0.0444444444444444,0
"55",2,1,2023,0.149253731343284,0.149253731343284,0.641791044776119,0,0.0447761194029851,0,0,0.0149253731343284,0
"56",2,1,2024,0.123076923076923,0.230769230769231,0.538461538461539,0,0,0.0153846153846154,0.0307692307692308,0.0615384615384615,0
"57",2,2,2021,0.173333333333333,0.48,0.346666666666667,0,0,0,0,0,0
"58",2,2,2022,0.146666666666667,0.453333333333333,0.32,0,0.0533333333333333,0,0,0.0266666666666667,0
"59",2,2,2023,0.180851063829787,0.351063829787234,0.382978723404255,0,0.074468085106383,0,0,0.0106382978723404,0
"60",2,2,2024,0.2,0.344444444444444,0.344444444444444,0,0.0555555555555556,0,0,0.0555555555555556,0
"61",2,3,2021,0.130434782608696,0.463768115942029,0.405797101449275,0,0,0,0,0,0
"62",2,3,2022,0.0526315789473684,0.157894736842105,0.473684210526316,0,0.0526315789473684,0,0.157894736842105,0.105263157894737,0
"63",2,3,2023,0.107692307692308,0.184615384615385,0.630769230769231,0,0.0153846153846154,0.0307692307692308,0.0307692307692308,0,0
"64",2,3,2024,0.09375,0.25,0.53125,0,0.09375,0.015625,0.015625,0,0
"65",2,4,2021,0.173076923076923,0.461538461538462,0.25,0,0.115384615384615,0,0,0,0
"66",2,4,2022,0,0.217391304347826,0.347826086956522,0,0.304347826086957,0,0.0434782608695652,0.0869565217391304,0
"67",2,4,2023,0.0208333333333333,0.0208333333333333,0.666666666666667,0,0.291666666666667,0,0,0,0
"68",2,4,2024,0.0857142857142857,0.0571428571428571,0.342857142857143,0,0.514285714285714,0,0,0,0
"69",2,5,2021,0.230769230769231,0.362637362637363,0.373626373626374,0,0.032967032967033,0,0,0,0
"70",2,5,2022,0,0.0882352941176471,0.352941176470588,0,0.352941176470588,0,0.117647058823529,0.0882352941176471,0
"71",2,5,2023,0.140845070422535,0.0422535211267606,0.563380281690141,0,0.225352112676056,0,0.0140845070422535,0.0140845070422535,0
"72",2,5,2024,0.0769230769230769,0.102564102564103,0.641025641025641,0,0.153846153846154,0,0.0256410256410256,0,0
"73",2,6,2021,0.154761904761905,0.428571428571429,0.297619047619048,0,0.119047619047619,0,0,0,0
"74",2,6,2022,0,0.15,0.35,0,0.3,0,0.1,0.1,0
"75",2,6,2023,0,0.0212765957446809,0.638297872340426,0,0.276595744680851,0,0.0425531914893617,0.0212765957446809,0
"76",2,6,2024,0.0769230769230769,0.0192307692307692,0.557692307692308,0,0.346153846153846,0,0,0,0
"77",2,7,2021,0.107142857142857,0.392857142857143,0.345238095238095,0,0.154761904761905,0,0,0,0
"78",2,7,2022,0,0.0666666666666667,0.433333333333333,0,0.4,0,0.0333333333333333,0.0666666666666667,0
"79",2,7,2023,0.0491803278688525,0,0.80327868852459,0,0.131147540983607,0,0,0.0163934426229508,0
"80",2,7,2024,0,0,0.595238095238095,0,0.357142857142857,0,0,0.0476190476190476,0
"81",2,8,2021,0.101010101010101,0.464646464646465,0.343434343434343,0,0.0606060606060606,0,0,0.0303030303030303,0
"82",2,8,2022,0,0.428571428571429,0.0476190476190476,0,0.285714285714286,0,0.142857142857143,0.0952380952380952,0
"83",2,8,2023,0.0714285714285714,0.0571428571428571,0.671428571428571,0,0.114285714285714,0,0.0142857142857143,0.0714285714285714,0
"84",2,8,2024,0,0.0212765957446809,0.702127659574468,0,0.234042553191489,0,0.0425531914893617,0,0
"85",2,9,2021,0.120879120879121,0.461538461538462,0.351648351648352,0,0.0659340659340659,0,0,0,0
"86",2,9,2022,0.146341463414634,0.451219512195122,0.219512195121951,0,0.170731707317073,0,0,0.0121951219512195,0
"87",2,9,2023,0.115384615384615,0.317307692307692,0.326923076923077,0.00961538461538462,0.211538461538462,0.00961538461538462,0,0.00961538461538462,0
"88",2,9,2024,0.0123456790123457,0.246913580246914,0.296296296296296,0,0.407407407407407,0,0,0.037037037037037,0
"89",2,10,2021,0.0989010989010989,0.538461538461538,0.296703296703297,0,0.0659340659340659,0,0,0,0
"90",2,10,2022,0,0.263157894736842,0.368421052631579,0,0.263157894736842,0.0350877192982456,0,0.0701754385964912,0
"91",2,10,2023,0.0131578947368421,0.223684210526316,0.605263157894737,0.0131578947368421,0.144736842105263,0,0,0,0
"92",2,10,2024,0.0147058823529412,0.147058823529412,0.617647058823529,0,0.220588235294118,0,0,0,0
"93",2,11,2021,0.0784313725490196,0.480392156862745,0.42156862745098,0.00980392156862745,0.00980392156862745,0,0,0,0
"94",2,11,2022,0,0.32183908045977,0.494252873563218,0,0.0919540229885057,0.0229885057471264,0.0344827586206897,0.0344827586206897,0
"95",2,11,2023,0.104651162790698,0.209302325581395,0.395348837209302,0.0232558139534884,0.244186046511628,0,0.0232558139534884,0,0
"96",2,11,2024,0.0659340659340659,0.164835164835165,0.417582417582418,0.0879120879120879,0.241758241758242,0,0.021978021978022,0,0
"97",2,12,2021,0,0.363636363636364,0.363636363636364,0,0.2,0,0,0.0727272727272727,0
"98",2,12,2022,0,0.125,0.0416666666666667,0,0.375,0,0.0416666666666667,0.416666666666667,0
"99",2,12,2023,0.0172413793103448,0.120689655172414,0.603448275862069,0.0172413793103448,0.103448275862069,0.0172413793103448,0,0.120689655172414,0
"100",2,12,2024,0.037037037037037,0.12962962962963,0.518518518518519,0,0.148148148148148,0,0,0.166666666666667,0
"101",2,13,2021,0.0987654320987654,0.432098765432099,0.37037037037037,0,0.0617283950617284,0,0,0.037037037037037,0
"102",2,13,2022,0.0927835051546392,0.422680412371134,0.329896907216495,0.0103092783505155,0.0721649484536083,0.0103092783505155,0,0.0618556701030928,0
"103",2,13,2023,0.0344827586206897,0.540229885057471,0.241379310344828,0,0.0804597701149425,0.0114942528735632,0,0.0919540229885057,0
"104",2,13,2024,0.0476190476190476,0.464285714285714,0.297619047619048,0,0.0714285714285714,0,0,0.119047619047619,0
"105",3,1,2021,0.103448275862069,0.482758620689655,0,0.0344827586206897,0.137931034482759,0.241379310344828,0,0,0
"106",3,1,2022,0,0.166666666666667,0,0,0.388888888888889,0.333333333333333,0.0555555555555556,0.0555555555555556,0
"107",3,1,2023,0.075,0.025,0.225,0.025,0.425,0.175,0.025,0.025,0
"108",3,1,2024,0.0833333333333333,0.0208333333333333,0.166666666666667,0,0.270833333333333,0.270833333333333,0.0625,0.125,0
"109",3,2,2021,0.155172413793103,0.293103448275862,0.448275862068966,0,0.0862068965517241,0.0172413793103448,0,0,0
"110",3,2,2022,0,0.121212121212121,0,0.0303030303030303,0.727272727272727,0,0.0606060606060606,0.0606060606060606,0
"111",3,2,2023,0.101449275362319,0.0144927536231884,0.405797101449275,0,0.478260869565217,0,0,0,0
"112",3,2,2024,0,0.0579710144927536,0.550724637681159,0,0.0434782608695652,0,0,0.347826086956522,0
"113",3,3,2021,0,0.108695652173913,0.804347826086956,0,0.0217391304347826,0,0,0.0652173913043478,0
"114",3,3,2022,0,0.360824742268041,0.34020618556701,0,0.22680412371134,0,0.0103092783505155,0.0618556701030928,0
"115",3,3,2023,0.0119047619047619,0.333333333333333,0.357142857142857,0,0.273809523809524,0,0,0.0238095238095238,0
"116",3,3,2024,0,0.416666666666667,0.476190476190476,0,0.0714285714285714,0,0,0.0357142857142857,0
"117",3,4,2021,0,0.0925925925925926,0.555555555555556,0,0.314814814814815,0,0,0.037037037037037,0
"118",3,4,2022,0,0.0645161290322581,0.0967741935483871,0,0.67741935483871,0,0,0.161290322580645,0
"119",3,4,2023,0,0,0.516129032258065,0,0.483870967741935,0,0,0,0
"120",3,4,2024,0,0.0185185185185185,0.685185185185185,0,0,0,0,0.296296296296296,0
"121",3,5,2021,0.0256410256410256,0.371794871794872,0.5,0.0128205128205128,0.0641025641025641,0,0,0.0256410256410256,0
"122",3,5,2022,0,0.0645161290322581,0.612903225806452,0,0.193548387096774,0,0,0.129032258064516,0
"123",3,5,2023,0,0.0793650793650794,0.682539682539683,0,0.238095238095238,0,0,0,0
"124",3,5,2024,0,0.127272727272727,0.854545454545454,0,0.0181818181818182,0,0,0,0
"125",3,6,2021,0,0.150943396226415,0.528301886792453,0,0.320754716981132,0,0,0,0
"126",3,6,2022,0.0555555555555556,0,0.111111111111111,0,0.722222222222222,0,0,0.111111111111111,0
"127",3,6,2023,0.0222222222222222,0,0.577777777777778,0,0.377777777777778,0,0,0.0222222222222222,0
"128",3,6,2024,0,0,0.649122807017544,0,0.333333333333333,0,0,0.0175438596491228,0
"129",3,7,2021,0.0147058823529412,0.25,0.470588235294118,0,0.25,0,0,0.0147058823529412,0
"130",3,7,2022,0,0.285714285714286,0.0476190476190476,0,0.380952380952381,0,0,0.285714285714286,0
"131",3,7,2023,0.0563380281690141,0.0845070422535211,0.464788732394366,0,0.309859154929577,0,0,0.0845070422535211,0
"132",3,7,2024,0.0506329113924051,0.10126582278481,0.468354430379747,0,0.151898734177215,0,0,0.227848101265823,0
"133",3,8,2021,0.0208333333333333,0.270833333333333,0.5625,0,0.145833333333333,0,0,0,0
"134",3,8,2022,0,0,0,0,0.866666666666667,0,0.133333333333333,0,0
"135",3,8,2023,0,0,0.415094339622641,0,0.471698113207547,0,0,0.113207547169811,0
"136",3,8,2024,0,0,0.71875,0,0.125,0,0,0.15625,0
"137",3,9,2021,0,0.533333333333333,0.413333333333333,0,0.0533333333333333,0,0,0,0
"138",3,9,2022,0.0105263157894737,0.473684210526316,0.389473684210526,0,0.105263157894737,0,0.0105263157894737,0.0105263157894737,0
"139",3,9,2023,0,0.436893203883495,0.330097087378641,0,0.194174757281553,0.0194174757281553,0,0.0194174757281553,0
"140",3,9,2024,0,0.565789473684211,0.342105263157895,0.0131578947368421,0.0394736842105263,0.0131578947368421,0,0.0263157894736842,0
"141",3,10,2021,0,0,0.566037735849057,0,0.39622641509434,0,0,0.0377358490566038,0
"142",3,10,2022,0.0333333333333333,0.0166666666666667,0.55,0,0.35,0,0,0.05,0
"143",3,10,2023,0.0140845070422535,0.0140845070422535,0.507042253521127,0,0.450704225352113,0,0,0.0140845070422535,0
"144",3,10,2024,0,0.0344827586206897,0.53448275862069,0,0.241379310344828,0,0,0.189655172413793,0
"145",3,11,2021,0,0.333333333333333,0.634920634920635,0,0.0317460317460317,0,0,0,0
"146",3,11,2022,0,0.263157894736842,0.105263157894737,0,0.578947368421053,0,0,0.0526315789473684,0
"147",3,11,2023,0,0.0483870967741936,0.645161290322581,0,0.258064516129032,0.0161290322580645,0,0.032258064516129,0
"148",3,11,2024,0,0.0769230769230769,0.717948717948718,0,0.153846153846154,0,0,0.0512820512820513,0
"149",3,12,2021,0.0727272727272727,0.381818181818182,0.436363636363636,0.0181818181818182,0.0181818181818182,0.0363636363636364,0,0.0363636363636364,0
"150",3,12,2022,0,0.0555555555555556,0.0555555555555556,0,0.277777777777778,0.0555555555555556,0,0.555555555555556,0
"151",3,12,2023,0.145833333333333,0,0.375,0,0.3125,0.0208333333333333,0,0.145833333333333,0
"152",3,12,2024,0.0816326530612245,0.122448979591837,0.36734693877551,0,0.204081632653061,0.0408163265306122,0,0.183673469387755,0
"153",3,13,2021,0.120689655172414,0.189655172413793,0.637931034482759,0,0,0,0,0.0517241379310345,0
"154",3,13,2022,0,0,0.25,0,0.527777777777778,0,0.0277777777777778,0.194444444444444,0
"155",3,13,2023,0.0491803278688525,0,0.475409836065574,0,0.39344262295082,0.0163934426229508,0,0.0655737704918033,0
"156",3,13,2024,0.127272727272727,0.0545454545454545,0.363636363636364,0,0.218181818181818,0,0,0.236363636363636,0
"157",4,1,2021,0.08,0.56,0.34,0.02,0,0,0,0,0
"158",4,1,2022,0,0.5,0,0,0,0.5,0,0,0
"159",4,1,2023,0,0.133333333333333,0.8,0,0,0,0.0666666666666667,0,0
"160",4,1,2024,0.212121212121212,0.212121212121212,0.333333333333333,0.212121212121212,0,0,0.0303030303030303,0,0
"161",4,2,2021,0.323943661971831,0.338028169014085,0,0,0.0845070422535211,0,0,0.253521126760563,0
"162",4,2,2022,0,0,0,0,0,0,0,1,0
"163",4,2,2023,0,0,0,0,0.4,0,0.2,0.4,0
"164",4,2,2024,0.517241379310345,0,0,0,0,0,0.137931034482759,0.344827586206897,0
"165",4,3,2021,0.125,0.678571428571428,0.0357142857142857,0.0178571428571429,0.0892857142857143,0.0535714285714286,0,0,0
"166",4,3,2022,0,0,0,0,0.75,0,0,0.25,0
"167",4,3,2023,0,0,0.272727272727273,0.181818181818182,0.363636363636364,0,0.181818181818182,0,0
"168",4,3,2024,0.0571428571428571,0.2,0.0857142857142857,0.428571428571429,0.0857142857142857,0,0.142857142857143,0,0
"169",4,4,2021,0.338028169014085,0.436619718309859,0.0985915492957747,0,0.126760563380282,0,0,0,0
"170",4,4,2022,0.28,0.48,0.0266666666666667,0,0.2,0,0.0133333333333333,0,0
"171",4,4,2023,0.22,0.36,0.2,0.08,0.1,0.02,0.02,0,0
