Site,Plot,Year,Sprayed,Size,Long,Lat,coords.UTM1,coords.UTM2,elevation,slope,aspect,TPI,TRI,SWness,Heatload,cover.all,foliar.cover.all,richness.all,diversity.all,evenness.all,cover.inv,foliar.cover.inv,diversity.inv,evenness.inv,richness.inv,Season,sand,clay,silt,pre_totaldiversity,pre_invdiversity,pre_natdiversity,pre_totalrichness,pre_invrichness,pre_natrichness,pre_natcover_abs,pre_invcover_abs,pre_natcover_rel,pre_invcover_rel,pre_totplantcov
1,1,2021,No,2x2,-116.033,43.57171,578044.8,4824760,1175.679,6.237841,125.939,0.003189,0.816025,-0.15749,0.693593,0.9,1.56,9,1.42488827,0.6484946,0.9,1.5,1.26839473,0.70790458,6,Fall,55.25363371,7.029359964,37.71700633,1.416077553,1.262299883,1.098612289,9,6,3,0.058823529,0.901960784,0.06122449,0.93877551,0.901960784
1,10,2021,Yes,2x2,-116.034,43.57246,578002.9,4824842,1184.029,7.647015,68.98409,0.418793,1.052399,-0.91366,0.598111,0.746,0.903,11,1.81390492,0.75645711,0.118,0.177,0.33812995,0.30777914,4,Fall,51.41912324,5.404162761,43.176714,1.812240649,1.310783678,1.319662067,11,4,7,0.666666667,0.156862745,0.80952381,0.19047619,0.745098039
1,11,2021,Yes,2x2,-116.034,43.57251,577993.5,4824847,1184.345,8.048407,43.31745,0.34201,1.087585,-0.99957,0.567988,0.608,0.608,2,0.62864183,0.90693846,0,0,1.06456318,0.76792001,0,Fall,55.80946836,10.62552309,33.56500855,0.628799394,0,0.628799394,2,0,2,0.607843137,0,1,0,0.607843137
1,12,2021,Yes,2x2,-116.034,43.57245,577978.5,4824840,1186.651,5.281117,60.8234,0.223572,0.754242,-0.96211,0.615882,0.627,0.764,5,1.28067899,0.7957306,0.02,0.02,0.76171731,0.69334497,1,Fall,55.87216318,11.70929191,32.4185449,1.280589176,0,1.191903888,5,1,4,0.62745098,0.019607843,0.96969697,0.03030303,0.62745098
1,13,2021,No,2x2,-116.034,43.57259,577977.3,4824856,1184.56,8.966177,34.11515,-0.12497,1.203278,-0.98201,0.565863,0.57,0.609,5,1.01753644,0.63223094,0,0,1.19495611,0.86197862,0,Fall,55.6780805,11.74211457,32.57980493,1.012937444,0,1.012937444,5,0,5,0.568627451,0,1,0,0.568627451
1,2,2021,Yes,2x2,-116.033,43.57185,578047.3,4824774,1176.957,7.4112,122.0738,-0.07001,1.0065,-0.22369,0.688467,0.883,1.392,5,1.29795505,0.80646481,0.569,0.843,1.31206517,0.94645496,3,Fall,53.71801606,12.72604487,33.55593907,1.29809833,0.868444639,0.257318641,5,3,2,0.509803922,0.62745098,0.448275862,0.551724138,0.882352941
1,3,2021,No,2x2,-116.034,43.57187,578034.3,4824777,1178.169,7.848784,123.1115,0.049713,1.049835,-0.20601,0.690548,0.981,1.628,8,1.2058927,0.5799118,0.981,1.491,0,0,5,Fall,50.17361111,12.18171296,37.64467593,1.204181469,0.911190752,0.955699891,8,5,3,0.137254902,0.980392157,0.122807018,0.877192982,0.980392157
1,4,2021,Yes,2x2,-116.034,43.57205,578038.2,4824796,1179.544,7.559033,110.7123,0.186829,1.056152,-0.41132,0.667796,0.961,1.294,8,1.41944435,0.68260844,0.706,0.902,0,NA,4,Fall,53.45420626,14.489205,32.05658874,1.419624999,0.571894092,1.345152922,8,4,4,0.37254902,0.764705882,0.327586207,0.672413793,0.960784314
1,5,2021,Yes,2x2,-116.034,43.57201,578023.6,4824792,1180.077,7.144707,123.8017,0.161087,0.942307,-0.19421,0.691304,0.765,1.12,9,1.49920856,0.68231922,0.686,1.001,0,0,5,Fall,NA,NA,NA,1.494584036,1.148162979,1.242453325,9,5,4,0.117647059,0.725490196,0.139534884,0.860465116,0.764705882
1,6,2021,Yes,2x2,-116.034,43.5722,578033.5,4824814,1180.1,7.767746,92.42914,0.206619,1.066299,-0.6765,0.633857,0.941,1.255,8,1.1071899,0.53244579,0.764,0.96,0.86886992,0.79087948,3,Fall,54.1705382,15.83875348,29.99070831,1.105913328,0.339322323,1.28687263,8,3,5,0.294117647,0.882352941,0.25,0.75,0.941176471
1,7,2021,Yes,2x2,-116.034,43.57212,578015.5,4824804,1182.125,6.982691,112.558,-0.01608,0.975433,-0.38175,0.672246,0.822,1.489,9,1.86548913,0.84902069,0.568,0.96,0.91322181,0.56741661,4,Fall,54.01612193,11.88657208,34.09730599,1.8648047,1.063626495,1.487352411,9,4,5,0.411764706,0.705882353,0.368421053,0.631578947,0.823529412
1,8,2021,Yes,2x2,-116.034,43.57232,578009.5,4824826,1182.865,7.995424,88.57511,0.267349,1.118942,-0.72447,0.625542,0.923,1.685,8,1.60764056,0.77311169,0.687,1.117,0.57166347,0.41236802,3,Fall,51.50834853,12.06678827,36.4248632,1.608563414,0.762052167,1.376934965,8,3,5,0.490196078,0.843137255,0.367647059,0.632352941,0.921568627
1,9,2021,Yes,2x2,-116.034,43.57225,577998.9,4824819,1184.794,5.664468,114.3815,0.126434,0.771942,-0.35214,0.676934,0.687,0.979,9,1.84815095,0.84112975,0.471,0.666,1.1503314,0.71474108,4,Fall,55.07572021,12.07139073,32.85288906,1.84769143,1.194517158,1.276719705,9,4,5,0.31372549,0.529411765,0.372093023,0.627906977,0.68627451
10,1,2021,Yes,2x2,-116.03,43.58086,578326.6,4825779,1184.919,17.38955,60.64936,-0.79445,2.461105,-0.96293,0.476243,0.962,2.021,12,1.99627215,0.80335901,0.628,1.314,1.12676145,0.81278658,4,Fall,75.16656803,7.422538707,17.41089326,1.99430621,1.125957305,1.678540058,12,4,7,0.411764706,0.803921569,0.287671233,0.561643836,0.960784314
10,10,2021,Yes,2x2,-116.031,43.58122,578252.4,4825817,1201.047,20.97838,62.82077,-0.10945,3.038223,-0.95202,0.443363,0.883,1.688,13,1.91251192,0.7456334,0.588,1.04,1.21800803,0.67978322,6,Fall,67.67095271,8.695816842,23.63323044,1.910613358,1.207597228,1.304437853,13,6,7,0.529411765,0.725490196,0.421875,0.578125,0.882352941
10,11,2021,No,2x2,-116.031,43.58119,578238.4,4825815,1207.498,20.08185,71.4495,-0.57756,2.894333,-0.89533,0.475418,0.961,1.882,8,1.64803333,0.7925365,0.784,1.49,1.22976993,0.88709149,4,Fall,NA,NA,NA,1.647986919,1.163387045,1.033114088,8,4,4,0.352941176,0.941176471,0.272727273,0.727272727,0.960784314
10,12,2021,Yes,2x2,-116.031,43.58132,578237.2,4825829,1206.937,20.48902,80.21446,-0.10287,2.880127,-0.817,0.498709,1.002,2.001,11,1.63457833,0.68167211,0.883,1.236,1.43816836,0.73907234,5,Fall,77.44714174,6.473505612,16.07935265,1.632895359,0.84091997,1.172475218,11,5,6,0.647058824,0.960784314,0.402439024,0.597560976,1
10,13,2021,Yes,2x2,-116.031,43.58133,578225.7,4825829,1210.742,21.3085,81.36399,-0.05743,3.033386,-0.80527,0.495294,0.921,1.647,9,1.75503177,0.79874938,0.823,1.216,1.03866522,0.74923858,5,Fall,81.62024395,5.796468232,12.58328782,1.756044156,1.385347881,0.660578888,9,6,3,0.352941176,0.882352941,0.285714286,0.714285714,0.921568627
10,2,2021,No,2x2,-116.03,43.58091,578321.4,4825784,1183.781,14.4705,76.50769,-0.88614,2.042419,-0.85257,0.543702,0.962,1.943,10,1.70783387,0.74170283,0.648,1.118,1.20906651,0.67479287,5,Fall,75.31608154,6.895631114,17.78828734,1.705193457,1.126976629,0.789837883,10,6,3,0.431372549,0.823529412,0.265060241,0.506024096,0.960784314
10,3,2021,Yes,2x2,-116.03,43.5809,578312,4825783,1186.981,18.29652,76.67085,-0.39609,2.591248,-0.85108,0.507787,0.982,1.709,15,2.13139844,0.78706017,0.255,0.451,1.16308959,0.83899179,5,Fall,NA,NA,NA,2.128193825,1.546168948,1.478490734,15,6,8,0.529411765,0.470588235,0.329268293,0.292682927,0.980392157
10,4,2021,Yes,2x2,-116.03,43.58098,578304.9,4825791,1190.457,17.67728,74.39121,0.079941,2.476303,-0.87129,0.507172,0.941,2.059,9,1.62212929,0.73826286,0.902,1.784,0.84255229,0.52350717,6,Fall,73.77572875,7.492648927,18.73162232,1.621174781,1.316581019,0.655975732,9,6,3,0.274509804,0.941176471,0.225806452,0.774193548,0.941176471
10,5,2021,Yes,2x2,-116.03,43.58096,578294.6,4825790,1193.405,16.98577,71.22962,0.020889,2.390274,-0.89703,0.505511,1,2.294,8,1.68323097,0.80946299,0.961,1.902,1.25545177,0.78005604,5,Fall,67.80446381,8.890693939,23.30484225,1.682751215,1.265732906,1.029653014,8,5,3,0.274509804,1,0.202898551,0.739130435,1
10,6,2021,No,2x2,-116.03,43.58105,578289.4,4825799,1192.381,16.01424,70.11251,-0.021,2.276642,-0.90548,0.512545,0.961,1.746,11,1.66537704,0.69451617,0.941,1.451,1.05974069,0.65845391,6,Fall,67.20861362,8.78620879,24.00517759,1.663297892,1.217791223,1.169992997,11,6,5,0.254901961,0.941176471,0.209677419,0.774193548,0.960784314
10,7,2021,Yes,2x2,-116.031,43.58099,578270.6,4825793,1198.186,20.09815,63.80658,-0.12257,2.866104,-0.94661,0.454854,1.002,2.217,8,1.72048791,0.82737979,0.903,1.55,1.43486387,0.89153105,4,Fall,67.52339528,8.495735186,23.98086953,1.719596359,1.381856055,0.47875333,8,5,3,0.568627451,0.980392157,0.367088608,0.632911392,1
10,8,2021,Yes,2x2,-116.031,43.58111,578269,4825805,1199.644,20.44183,59.7156,-0.09569,2.906693,-0.9672,0.441532,0.999,2.432,11,1.94850249,0.81258865,0.647,1.393,1.31716147,0.73512181,7,Fall,70.1046798,8.128078818,21.76724138,1.947641317,1.271938313,1.239096346,11,6,5,0.784313725,0.862745098,0.449438202,0.494382022,1
10,9,2021,Yes,2x2,-116.031,43.58107,578258.8,4825801,1204.848,21.20866,57.71702,-0.1198,2.994736,-0.97547,0.428987,0.94,1.94,9,1.83459186,0.83495874,0.608,1.117,1.26649427,0.78691714,4,Fall,65.84238233,8.951222829,25.20639484,1.834475493,1.037799985,1.308991803,9,4,5,0.705882353,0.764705882,0.48,0.52,0.941176471
2,1,2021,Yes,2x2,-116.003,43.56606,580531.6,4824161,983.0366,9.597401,125.6559,0.060394,1.275024,-0.16236,0.696854,0.843,1.333,5,1.26434833,0.78558379,0.823,1.215,1.05898694,0.7638976,4,Fall,67.43874283,3.962165785,28.59909138,1.26362438,1.26362438,0,5,5,0,0,0.843137255,0,1,0.843137255
2,10,2021,Yes,2x2,-116.002,43.56665,580596,4824227,978.059,11.48056,120.1786,-0.25503,1.553307,-0.25581,0.682756,0.981,1.804,6,1.25072092,0.69804064,0.981,1.765,1.26592161,0.91316942,5,Fall,63.57709751,3.599773243,32.82312925,1.250174569,1.250174569,0,6,6,0,0,0.980392157,0,1,0.980392157
2,11,2021,Yes,2x2,-116.002,43.56664,580608.4,4824226,976.4136,9.991408,131.5327,-0.3947,1.380722,-0.06048,0.710814,1,2.021,7,1.08335043,0.55673199,0.98,1.981,1.26202135,0.91035597,5,Fall,59.12453524,3.863697344,37.01176741,1.080824419,1.036226042,0,7,6,1,0.019607843,1,0.019230769,0.980769231,1
2,12,2021,Yes,2x2,-116.002,43.56676,580611.1,4824239,976.6295,9.286563,119.3249,0.305344,1.305695,-0.27018,0.682612,0.804,1.078,5,1.40187553,0.87103424,0.706,0.941,1.17237166,0.72843547,3,Fall,44.92354518,21.62475542,33.4516994,1.401930737,1.230806864,0,5,4,1,0.078431373,0.764705882,0.093023256,0.906976744,0.803921569
2,13,2021,No,2x2,-116.002,43.56676,580621.5,4824240,975.0207,8.705685,112.1861,0.02581,1.148918,-0.38774,0.668029,0.924,1.647,7,1.5385202,0.79064298,0.806,1.412,1.1594701,0.83638088,5,Fall,52.90190215,11.2946413,35.80345655,1.538645378,1.435849618,0,7,6,1,0.058823529,0.921568627,0.06,0.94,0.921568627
2,2,2021,No,2x2,-116.003,43.56617,580531,4824173,983.9784,9.492614,125.0105,0.018585,1.260468,-0.17347,0.695332,0.882,1.51,4,1.15209775,0.83106286,0.882,1.451,1.17177982,0.72806774,3,Fall,75.95056188,5.243005467,18.80643265,1.151755154,1.151755154,0,4,4,0,0,0.882352941,0,1,0.882352941
2,3,2021,Yes,2x2,-116.003,43.56621,580546.7,4824178,983.5904,10.16094,125.2141,0.045036,1.362526,-0.16997,0.696136,0.863,1.45,4,1.24738611,0.89979888,0.785,1.274,0.99203689,0.61638718,3,Fall,71.55628629,2.10998647,26.33372724,1.247936783,1.247936783,0,4,4,0,0,0.862745098,0,1,0.862745098
2,4,2021,Yes,2x2,-116.003,43.56633,580548.8,4824191,984.6675,10.77902,125.6417,0.060524,1.451546,-0.16261,0.697448,0.844,1.02,5,1.33721027,0.83085546,0.824,1,1.07020964,0.97414679,4,Fall,73.42007435,1.115241636,25.46468401,1.336122822,1.336122822,0,5,5,0,0,0.843137255,0,1,0.843137255
2,5,2021,Yes,2x2,-116.002,43.5663,580560.9,4824188,981.1899,11.18946,112.6844,-0.01199,1.548035,-0.37971,0.663029,0.941,1.785,4,1.18677854,0.85607976,0.941,1.785,1.22278372,0.75975825,4,Fall,70.87955477,4.572631896,24.54781333,1.186553843,1.186553843,0,4,4,0,0,0.941176471,0,1,0.941176471
2,6,2021,Yes,2x2,-116.002,43.56641,580564.9,4824201,981.9686,11.9398,111.1672,0.000687,1.669678,-0.40407,0.656648,0.942,1.686,5,1.34662744,0.83670667,0.922,1.647,1.02724896,0.9350423,4,Fall,70.28800865,7.319898077,22.39209327,1.346962827,1.346962827,0,5,5,0,0,0.941176471,0,1,0.941176471
2,7,2021,Yes,2x2,-116.002,43.56641,580577.7,4824200,979.9862,10.93671,109.7106,-0.12236,1.52684,-0.42719,0.655969,0.96,1.647,4,1.26202135,0.91035597,0.96,1.647,0.99897706,0.90930811,4,Fall,65.85250866,8.674681318,25.47281002,1.262296663,1.262296663,0,4,4,0,0,0.960784314,0,1,0.960784314
2,8,2021,Yes,2x2,-116.002,43.56653,580578.2,4824214,981.2017,11.70371,106.3554,-0.11749,1.630646,-0.47938,0.644147,1,1.962,8,1.39016627,0.66852866,0.941,1.844,1.26551534,0.91287635,5,Fall,74.45762167,7.1724451,18.36993323,1.389087076,1.273453075,0.636514168,8,6,2,0.058823529,1,0.055555556,0.944444444,1
2,9,2021,No,2x2,-116.002,43.56651,580594.4,4824212,976.9808,10.52287,100.7007,-0.00609,1.455063,-0.56352,0.635102,0.941,1.824,5,1.23804714,0.76924194,0.941,1.785,1.18677854,0.85607976,4,Fall,73.17236754,7.630971011,19.19666145,1.23798259,1.23798259,0,5,5,0,0,0.941176471,0,1,0.941176471
3,1,2021,Yes,2x2,-116.008,43.56642,580120.8,4824196,1027.02,17.78146,129.0558,0.059113,2.35495,-0.10356,0.708129,0.49,0.569,6,1.44530947,0.80664257,0.333,0.412,1.0372009,0.7481823,4,Fall,54.07559684,9.557240657,36.3671625,1.442925933,1.035695964,0.376770161,6,4,2,0.156862745,0.392156863,0.285714286,0.714285714,0.490196078
3,10,2021,No,2x2,-116.007,43.56649,580205.2,4824205,1014.931,9.713309,103.5293,0.233452,1.327766,-0.52206,0.645642,0.823,1.039,3,0.81217764,0.73927595,0.784,1,0.75453454,0.68680694,2,Fall,60.29086788,9.066011899,30.64312022,0.81260914,0.677494404,0,3,2,1,0.039215686,0.823529412,0.045454545,0.954545455,0.823529412
3,11,2021,Yes,2x2,-116.007,43.56641,580213.3,4824196,1012.62,16.02807,106.3963,0.806541,2.248177,-0.47875,0.624486,0.864,1.235,4,0.9468329,0.68299556,0.844,0.921,0.99446934,0.71735799,3,Fall,59.06110572,7.573229874,33.3656644,0.947101684,0.947101684,0,4,4,0,0,0.862745098,0,1,0.862745098
3,12,2021,Yes,2x2,-116.006,43.56644,580231.6,4824199,1004.852,21.00849,104.8624,-0.33324,3.063866,-0.50208,0.591133,0.706,1.118,8,1.55493924,0.74776771,0.608,0.863,0.62518534,0.56906822,4,Fall,61.81355453,7.902724102,30.28372137,1.554501383,1.276729205,1.054920168,8,5,3,0.098039216,0.68627451,0.125,0.875,0.705882353
3,13,2021,Yes,2x2,-116.007,43.56635,580228.1,4824189,1007.701,21.04897,112.1327,0.210403,3.009613,-0.3886,0.623972,0.843,1.137,5,1.06955952,0.66455469,0.784,0.882,0.74546288,0.67854955,3,Fall,61.38968623,8.456893992,30.15341978,1.068252983,0.911857099,0,5,4,1,0.058823529,0.823529412,0.066666667,0.933333333,0.843137255
3,2,2021,Yes,2x2,-116.008,43.56649,580110.6,4824204,1031.555,18.36134,128.5831,0.045441,2.44278,-0.11176,0.705727,0.805,1.137,5,1.29040746,0.80177523,0.785,1.117,0.67757821,0.97753873,4,Fall,48.38037859,10.26442039,41.35520101,1.289799086,1.223799556,0,5,4,1,0.019607843,0.803921569,0.023809524,0.976190476,0.803921569
3,3,2021,No,2x2,-116.008,43.56663,580125.4,4824219,1030.843,17.55989,124.9634,0.013748,2.396622,-0.17428,0.691549,0.765,0.902,5,0.73454607,0.45639914,0.706,0.843,0.50938795,0.4636649,4,Fall,59.17451949,6.861954319,33.96352619,0.73201146,0.525173599,0,5,4,1,0.058823529,0.745098039,0.073170732,0.926829268,0.764705882
3,4,2021,Yes,2x2,-116.008,43.56673,580115.2,4824230,1035.272,18.40719,120.9871,-0.0609,2.565903,-0.24214,0.673246,0.803,1.097,5,1.14918449,0.71402847,0.725,0.96,1.00184163,0.72267598,3,Fall,58.19766422,7.76774747,34.03458831,1.149988716,1.032798265,0,5,4,1,0.039215686,0.803921569,0.046511628,0.953488372,0.803921569
3,5,2021,Yes,2x2,-116.008,43.56674,580129.6,4824232,1030.009,16.50812,123.8842,-0.02136,2.25766,-0.19279,0.688767,0.961,1.628,8,1.44413963,0.69448436,0.902,1.314,0.53624366,0.48811002,5,Fall,65.22813248,7.318767853,27.45309967,1.443446998,1.312384444,0.636514168,8,6,2,0.058823529,0.960784314,0.057692308,0.942307692,0.960784314
3,6,2021,Yes,2x2,-116.008,43.56688,580124.1,4824247,1035.748,17.60232,118.1236,0.030685,2.464737,-0.29031,0.663464,0.726,1.039,4,1.04494611,0.75376929,0.667,0.902,1.22342157,0.88251212,3,Fall,61.74299721,6.823276412,31.43372638,1.044108439,1.044108439,0,4,4,0,0,0.725490196,0,1,0.725490196
3,7,2021,Yes,2x2,-116.008,43.56692,580138.9,4824252,1032.951,16.68012,116.0085,-0.01564,2.35817,-0.32543,0.657846,0.863,1.334,6,1.33655556,0.74594586,0.765,1.098,0.52744498,0.38047113,4,Fall,63.39807358,7.484604453,29.11732196,1.334278579,1.276400372,0,6,5,1,0.019607843,0.862745098,0.022222222,0.977777778,0.862745098
3,8,2021,Yes,2x2,-116.007,43.5665,580185.7,4824206,1017.343,8.395087,130.4847,-0.05653,1.176147,-0.07873,0.705332,0.764,0.941,4,1.04000678,0.75020631,0.588,0.686,0.79765641,0.72605815,3,Fall,52.87768398,8.665818588,38.45649744,1.038840426,1.038840426,0,4,4,0,0,0.764705882,0,1,0.764705882
3,9,2021,No,2x2,-116.007,43.56642,580195.2,4824197,1015.676,7.385985,131.9316,0.266174,1.085785,-0.05353,0.705518,0.922,1.568,4,1.08318232,0.78135088,0.608,0.823,1.03748263,0.6446242,3,Fall,55.12621686,7.324501579,37.54928156,1.083921311,1.083921311,0,4,4,0,0,0.921568627,0,1,0.921568627
4,1,2021,Yes,2x2,-116.016,43.5839,579427.9,4826129,1190.627,15.62389,227.9223,-0.14592,2.109879,0.9987,0.825713,0.648,0.981,5,1.01939663,0.63338674,0.648,0.961,0.93899746,0.67734349,4,Fall,85.87716072,3.066142738,11.05669654,1.016779205,0.93748989,0,5,4,1,0.019607843,0.647058824,0.029411765,0.970588235,0.647058824
4,10,2021,Yes,2x2,-116.016,43.58233,579445.6,4825956,1165.188,19.78383,146.2677,0.01268,2.779739,0.195393,0.782062,0.784,1.04,6,0.95749607,0.53438873,0.784,0.961,0.84497902,0.76913305,4,Fall,83.11288886,5.216719047,11.67039209,0.955818176,0.698529049,0.562335145,6,4,2,0.078431373,0.784313725,0.090909091,0.909090909,0.784313725
4,11,2021,Yes,2x2,-116.016,43.58239,579455.5,4825962,1162.955,20.04699,147.4443,-0.35039,2.843887,0.215491,0.787645,0.844,1.295,5,1.21078885,0.75230541,0.824,1.256,1.09795758,0.6821994,4,Fall,84.37747546,4.766660926,10.85586361,1.211435776,1.109255624,0,5,4,1,0.039215686,0.823529412,0.045454545,0.954545455,0.843137255
4,12,2021,No,2x2,-116.016,43.58248,579458.8,4825972,1166.406,19.99441,152.0815,0.107086,2.82959,0.293732,0.806124,0.765,1.098,4,0.89951894,0.64886575,0.745,1.078,0.68784335,0.99234819,3,Fall,83.32696516,4.918545278,11.75448956,0.898844553,0.823980463,0,4,3,1,0.019607843,0.764705882,0.025,0.975,0.764705882
4,13,2021,Yes,2x2,-116.016,43.58252,579467.8,4825977,1168.15,16.75339,161.2361,0.033585,2.348862,0.442071,0.819602,0.981,1.686,5,1.29138737,0.80238409,0.961,1.549,0.76510283,0.55190503,4,Fall,85.38450228,3.49948537,11.11601235,1.291993972,1.099308425,0,5,4,1,0.137254902,0.960784314,0.125,0.875,0.980392157
4,2,2021,Yes,2x2,-116.016,43.58398,579433.5,4826138,1194.507,13.59553,232.8088,0.176331,1.810699,0.990727,0.817636,0.784,1.393,4,1.28873835,0.92962821,0.431,1.04,0.69880713,0.50408279,3,Fall,86.06188885,3.778403624,10.15970752,1.288498083,0.967646334,0,4,3,1,0.352941176,0.705882353,0.333333333,0.666666667,0.784313725
4,3,2021,Yes,2x2,-116.016,43.58405,579427.2,4826146,1194.136,11.85963,224.5702,-0.10698,1.553848,0.999972,0.79049,0.803,1.098,6,1.08712568,0.60673639,0.764,1.019,1.10904406,0.80000618,4,Fall,85.11246045,4.62498931,10.26255024,1.086441585,0.849645083,0.562335145,6,4,2,0.078431373,0.803921569,0.088888889,0.911111111,0.803921569
4,4,2021,No,2x2,-116.016,43.58415,579432.4,4826157,1197.253,13.31039,226.0411,-0.05611,1.721268,0.999835,0.803504,0.823,1.392,4,1.21811821,0.87868655,0.823,1.392,0.82351094,0.74959196,4,Fall,NA,NA,NA,1.218689912,1.218689912,0,4,4,0,0,0.823529412,0,1,0.823529412
4,5,2021,Yes,2x2,-116.016,43.58424,579424.6,4826167,1196.969,15.12256,214.4344,-0.86607,2.169571,0.983045,0.835642,0.588,0.667,4,0.64594701,0.46595228,0.549,0.628,1.09884712,0.79265065,3,Fall,91.07576928,2.924494526,5.999736193,0.644482362,0.447062054,0,4,3,1,0.039215686,0.568627451,0.064516129,0.935483871,0.588235294
4,6,2021,Yes,2x2,-116.016,43.58434,579432.4,4826178,1201.683,17.04936,210.4254,0.074966,2.410172,0.967821,0.858901,0.648,0.862,3,0.84497902,0.76913305,0.648,0.862,0.96798492,0.88109784,3,Fall,85.80372689,4.356685066,9.839588041,0.845465229,0.845465229,0,3,3,0,0,0.647058824,0,1,0.647058824
4,7,2021,Yes,2x2,-116.016,43.58211,579429.4,4825930,1158.035,20.29022,150.9068,0.012024,2.875793,0.274073,0.802543,0.845,1.393,7,1.3336228,0.68534655,0.805,1.275,0.8488397,0.61230841,5,Fall,80.98220449,6.14172433,12.87607118,1.33236555,1.033802964,0.79631164,7,4,3,0.117647059,0.803921569,0.125,0.854166667,0.843137255
4,8,2021,No,2x2,-116.016,43.5822,579434.4,4825940,1161.242,19.33061,149.8763,0.098923,2.685745,0.256733,0.795126,0.862,1.157,3,0.76323344,0.69472502,0.862,1.137,1.21811821,0.87868655,2,Fall,NA,NA,NA,0.762044921,0.687786823,0,3,2,1,0.019607843,0.862745098,0.022222222,0.977777778,0.862745098
4,9,2021,Yes,2x2,-116.016,43.58224,579442.9,4825945,1162.246,18.73629,145.4491,-0.04228,2.572769,0.181362,0.775935,0.902,1.059,4,0.76510283,0.55190503,0.902,1.059,0.44949017,0.40914358,4,Fall,87.55064178,4.634432623,7.814925599,0.762600421,0.762600421,0,4,4,0,0,0.901960784,0,1,0.901960784
